binding_id,row_type,row_id,bibtex_key,operation,kind,automaton_id,role,source,linked_strategy_ids,linked_error_ids,link_ids,evidence
misconception:77:fraction:whole_number_grab,misconception,77,,fraction,whole_number_grab,fraction:whole_number_grab,deformation_misconception,automaton_instance_bindings:error_row_mapper,,,,"whole number; whole-number | Whole-number rule, fraction rule, zero rule for decimals"
misconception:93:fraction:whole_number_grab,misconception,93,ISI:000347888300006,fraction,whole_number_grab,fraction:whole_number_grab,deformation_misconception,automaton_instance_bindings:error_row_mapper,,,,whole number; whole-number | Longer-is-larger; shorter-is-larger; zero rule; digits after decimal as whole numbers; MMB
misconception:107:fraction:whole_number_grab,misconception,107,ISI:000373930700003,fraction,whole_number_grab,fraction:whole_number_grab,deformation_misconception,automaton_instance_bindings:error_row_mapper,,,,whole number; whole-number | Ordering by whole-number logic; adding tops/bottoms; applying addition rule to multiplication; subtracting smaller from larger regardless
misconception:119:fraction:whole_number_grab,misconception,119,ExcelinEd2023,fraction,whole_number_grab,fraction:whole_number_grab,deformation_misconception,automaton_instance_bindings:error_row_mapper,,,,whole number; whole-number | Teachers: MMB/DMS; whole-number properties to rational numbers
misconception:121:fraction:whole_number_grab,misconception,121,,fraction,whole_number_grab,fraction:whole_number_grab,deformation_misconception,automaton_instance_bindings:error_row_mapper,,,,whole number; whole-number | 0.13 > 0.5; no numbers between consecutive whole numbers
misconception:135:fraction:whole_number_grab,misconception,135,,fraction,whole_number_grab,fraction:whole_number_grab,deformation_misconception,automaton_instance_bindings:error_row_mapper,,,,whole number; whole-number | 2/3 x 3/5 = 5/8; invert dividend; expect whole-number quotients
misconception:144:fraction:whole_number_grab,misconception,144,,fraction,whole_number_grab,fraction:whole_number_grab,deformation_misconception,automaton_instance_bindings:error_row_mapper,,,,"whole number; whole-number | Whole number rule; 3.300 < 3.3; ""oneths"" should exist"
misconception:149:subtraction:smaller_from_larger_in_column,misconception,149,,subtraction,smaller_from_larger_in_column,subtraction:smaller_from_larger_in_column,deformation_misconception,automaton_instance_bindings:error_row_mapper,,,,subtracting the smaller digit from the larger; smaller digit from the larger; smaller from larger; regardless of position; always subtracting the smaller digit | Children develop buggy algorithms such as smaller-from-larger (always subtracting the smaller digit from the larger regardless of position). Procedural rules for carrying and borrowing are not linked to conceptual knowledge of base-ten place-value system.
misconception:158:fraction:whole_number_grab,misconception,158,ISI:000416631000001,fraction,whole_number_grab,fraction:whole_number_grab,deformation_misconception,automaton_instance_bindings:error_row_mapper,,,,whole number; whole-number | Students who rigidly conceptualize multiplication as repeated addition or equal groups can use distributivity for multi-digit whole numbers but this same conceptualization constrains commutativity use and sense-making with decimal multiplication. Robust conceptualization both enables and constrains across number domains.
misconception:163:fraction:whole_number_grab,misconception,163,ISI:000334417000003,fraction,whole_number_grab,fraction:whole_number_grab,deformation_misconception,automaton_instance_bindings:error_row_mapper,,,,whole number; whole-number | Start-unknown problems harder than change-unknown problems because harder to directly model; children use order-based reasoning and counting strategies on number line to extend whole number operations to negative numbers
misconception:165:subtraction:smaller_from_larger_in_column,misconception,165,,subtraction,smaller_from_larger_in_column,subtraction:smaller_from_larger_in_column,deformation_misconception,automaton_instance_bindings:error_row_mapper,,,,"smaller from larger; regardless of position | Buggy algorithm smaller-from-larger: child subtracts smaller digit from larger in each column regardless of position (e.g., 940-586=446); Marriott (1976) found 200 different incorrect methods for this problem"
misconception:168:addition:count_all_when_count_on_available,misconception,168,,addition,count_all_when_count_on_available,addition:count_all_when_count_on_available,deformation_misconception,automaton_instance_bindings:error_row_mapper,,,,count all; count-all | Progression from count-all to counting-on to counting-on-from-larger to derived facts like make-ten bridging strategy; multi-digit subtraction algorithms (Equal Addition and Decomposition) as creative rule-governed procedures
misconception:171:subtraction:borrow_across_zero_no_cascade,misconception,171,,subtraction,borrow_across_zero_no_cascade,subtraction:borrow_across_zero_no_cascade,deformation_misconception,automaton_instance_bindings:error_row_mapper,,,,"borrowing across zero; across zero; counter-intuitive; counter intuitive | Borrowing across zero in subtraction (e.g., 1702-1368) is inherently counter-intuitive; requires formal place-value understanding that contradicts intuitive estimations, causing students to lose their way in procedural steps"
misconception:173:addition:count_all_instead_of_known_fact,misconception,173,,addition,count_all_instead_of_known_fact,addition:count_all_instead_of_known_fact,deformation_misconception,automaton_instance_bindings:error_row_mapper,,,,rely on procedural counting; procedural counting strategies; finger counting; mental analogues; overloading short-term memory | Low achievers rely on procedural counting strategies using perceptual objects or mental analogues (finger counting) overloading short-term memory; high achievers compress counting into known procepts and derive facts flexibly
misconception:180:addition:unbalanced_make_base_compensation,misconception,180,,addition,unbalanced_make_base_compensation,addition:unbalanced_make_base_compensation,deformation_misconception,automaton_instance_bindings:error_row_mapper,,,,"compensation; quasi variable | Students use numbers as quasi-variables to apply algebraic principles like compensation to whole number addition (e.g., transforming 47+25 into 50+22 by adding 3 and subtracting 3); discourages reliance on standard algorithms"
misconception:180:fraction:whole_number_grab,misconception,180,,fraction,whole_number_grab,fraction:whole_number_grab,deformation_misconception,automaton_instance_bindings:error_row_mapper,,,,"whole number; whole-number | Students use numbers as quasi-variables to apply algebraic principles like compensation to whole number addition (e.g., transforming 47+25 into 50+22 by adding 3 and subtracting 3); discourages reliance on standard algorithms"
misconception:182:addition:count_all_when_count_on_available,misconception,182,,addition,count_all_when_count_on_available,addition:count_all_when_count_on_available,deformation_misconception,automaton_instance_bindings:error_row_mapper,,,,count all; count-all | Count-all to count-on flexibility; child switches strategies based on difficulty
misconception:185:addition:count_all_when_count_on_available,misconception,185,,addition,count_all_when_count_on_available,addition:count_all_when_count_on_available,deformation_misconception,automaton_instance_bindings:error_row_mapper,,,,count all; count-all; locked into count all | Below-average locked into count-all; above-average use derived facts
misconception:195:addition:count_all_when_count_on_available,misconception,195,,addition,count_all_when_count_on_available,addition:count_all_when_count_on_available,deformation_misconception,automaton_instance_bindings:error_row_mapper,,,,"count all; count-all | Count-all, count-by, pattern-based, learned products progression"
misconception:206:fraction:whole_number_grab,misconception,206,ISI:000365297500004,fraction,whole_number_grab,fraction:whole_number_grab,deformation_misconception,automaton_instance_bindings:error_row_mapper,,,,whole number; whole-number | Mental computation strategies for whole number subtraction
misconception:207:addition:count_all_when_count_on_available,misconception,207,,addition,count_all_when_count_on_available,addition:count_all_when_count_on_available,deformation_misconception,automaton_instance_bindings:error_row_mapper,,,,count all; count-all | Count-all to count-on to derived strategies progression; 12-9 reinterpreted as 9+?=12
misconception:210:addition:count_all_when_count_on_available,misconception,210,,addition,count_all_when_count_on_available,addition:count_all_when_count_on_available,deformation_misconception,automaton_instance_bindings:error_row_mapper,,,,count all; count-all | Top-from-bottom buggy algorithm: 346-157=211; count-all to make-a-ten levels
misconception:211:addition:append_column_sum_without_carrying,misconception,211,,addition,append_column_sum_without_carrying,addition:append_column_sum_without_carrying,deformation_misconception,automaton_instance_bindings:error_row_mapper,,,,99+1=910; carrying bug | 99+1=910 carrying bug; derived facts like 7+8=15 because 7+7=14+1
misconception:224:multiplication:drop_second_partial_product,misconception,224,,multiplication,drop_second_partial_product,multiplication:drop_second_partial_product,deformation_misconception,automaton_instance_bindings:error_row_mapper,,,,"partial product; partial products; distributive | Students struggle to coordinate magnitudes of factors and partial products in two-digit multiplication (e.g., 28x34). Difficulty connecting expanded forms of numbers with the distributive property; confusion about which representational features to use for which computational goal."
misconception:230:fraction:whole_number_grab,misconception,230,,fraction,whole_number_grab,fraction:whole_number_grab,deformation_misconception,automaton_instance_bindings:error_row_mapper,,,,"whole number; whole-number | Children must construct a Generalized Number Sequence to treat numbers as iterable composite units. Before this construction, children cannot distribute multiplication (e.g., realizing three 7s is three 3s and three 4s). The transition from whole-number multiplication/division to fractions requires this reorganization."
misconception:231:fraction:whole_number_grab,misconception,231,,fraction,whole_number_grab,fraction:whole_number_grab,deformation_misconception,automaton_instance_bindings:error_row_mapper,,,,whole number; whole-number | Students overgeneralize whole-number arithmetic experiences to decimals: persistent misconception that multiplication always makes bigger and division makes smaller. This derives from defining multiplication as repeated addition within natural numbers.
misconception:243:fraction:whole_number_grab,misconception,243,,fraction,whole_number_grab,fraction:whole_number_grab,deformation_misconception,automaton_instance_bindings:error_row_mapper,,,,whole number; whole-number | Cognitive gap when extending whole number schema to negative numbers; difficulty subtracting through zero; students develop invented strategies of cancellation and compensation through abacus model and disco-game context
misconception:245:fraction:whole_number_grab,misconception,245,,fraction,whole_number_grab,fraction:whole_number_grab,deformation_misconception,automaton_instance_bindings:error_row_mapper,,,,whole number; whole-number | Students show least improvement in whole number addition estimation; cognitive overload from numerous addends causes reversion to familiar but less efficient methods
misconception:248:subtraction:borrow_across_zero_no_cascade,misconception,248,,subtraction,borrow_across_zero_no_cascade,subtraction:borrow_across_zero_no_cascade,deformation_misconception,automaton_instance_bindings:error_row_mapper,,,,borrowing across zero; across zero; multidigit subtraction; written multidigit subtraction | Students lack conceptual understanding of base-ten system for written decomposition algorithms especially borrowing across zero; consistently employ errors in written multidigit subtraction but show more success with mental strategies
misconception:250:division:reject_known_product_match,misconception,250,,division,reject_known_product_match,division:reject_known_product_match,deformation_misconception,automaton_instance_bindings:error_row_mapper,,,,"known products; known product | Low-ability students get trapped in procedural counting strategies and fail to construct known products or coordinate multiple procedures required for division; inability to move from counting-based to chunk-based strategies (repeated doubling, multiples of 5 and 10) for quotitive and partitive division"
misconception:257:fraction:whole_number_grab,misconception,257,,fraction,whole_number_grab,fraction:whole_number_grab,deformation_misconception,automaton_instance_bindings:error_row_mapper,,,,whole number; whole-number | Students overgeneralize rules from whole numbers to new domains without conceptual understanding; induce local algorithms from final answers that work for particular exercise types but do not generalize
misconception:261:subtraction:smaller_from_larger_in_column,misconception,261,,subtraction,smaller_from_larger_in_column,subtraction:smaller_from_larger_in_column,deformation_misconception,automaton_instance_bindings:error_row_mapper,,,,"regardless of position; minuend or subtrahend | Buggy algorithm in two-digit subtraction: larger-minus-smaller rule where student subtracts smaller digit from larger regardless of position in minuend or subtrahend (e.g., 62-25=43); also documents invented strategy of subtracting by partial differences (e.g., 62-25 as (60-20)+(2-5) = 40+(-3) = 37) which eliminates need for regrouping but requires using negative deficit"
misconception:279:addition:count_all_instead_of_known_fact,misconception,279,,addition,count_all_instead_of_known_fact,addition:count_all_instead_of_known_fact,deformation_misconception,automaton_instance_bindings:error_row_mapper,,,,"stuck using counting-all; using counting-all instead of; number fact retrieval; derived fact strategies | Children stuck using counting-all instead of counting-on; intervention targets verbal counting, object counting, place value (adding/subtracting tens and units), number fact retrieval, and derived fact strategies (e.g., using 3+5=8 to deduce 3+6)"
misconception:284:fraction:whole_number_grab,misconception,284,,fraction,whole_number_grab,fraction:whole_number_grab,deformation_misconception,automaton_instance_bindings:error_row_mapper,,,,"whole number; whole-number | Students (ages 10-11) invent visual models (stick people, jumpers, raindrops) to represent, count, and compare whole numbers (e.g., comparing 11 and 10, or 15 and 40); study establishes baseline whole number understanding before transition to rationals"
misconception:288:subtraction:smaller_from_larger_in_column,misconception,288,,subtraction,smaller_from_larger_in_column,subtraction:smaller_from_larger_in_column,deformation_misconception,automaton_instance_bindings:error_row_mapper,,,,smaller from larger; regardless of position | Students always subtract smaller digit from larger regardless of position (456-37=421). Lack of place value understanding in multi-digit subtraction.
misconception:290:fraction:whole_number_grab,misconception,290,,fraction,whole_number_grab,fraction:whole_number_grab,deformation_misconception,automaton_instance_bindings:error_row_mapper,,,,whole number; whole-number | Poor math learners passively encode new concepts by assimilating into unextended whole-number schemas. Misapply whole-numbers rule to decimals (1.65>1.4 because 65>4) and signed numbers.
misconception:37434:fraction:whole_number_grab,misconception,37434,JMB_Olive_2002_Construction,fraction,whole_number_grab,fraction:whole_number_grab,deformation_misconception,strategy_misconception_links.notes;automaton_instance_bindings:error_row_mapper,258;261,,624;634,whole_number_grab: The student applied whole-number additive arithmetic to fraction situations by adding the denominators when combining two unit fractions. | whole number; whole-number; denominator | The student applied whole-number additive arithmetic to fraction situations by adding the denominators when combining two unit fractions.
misconception:37436:fraction:whole_number_grab,misconception,37436,JMB_Olive_2002_Construction,fraction,whole_number_grab,fraction:whole_number_grab,deformation_misconception,strategy_misconception_links.notes;automaton_instance_bindings:error_row_mapper,258;261,,604;605,"whole_number_grab: The student named a unit fraction based on the numerosity (length) of the stick being used, rather than its multiplicative relationship to the whole. | named a unit fraction based on the numerosity; numerosity; rather than its multiplicative relationship to the whole | The student named a unit fraction based on the numerosity (length) of the stick being used, rather than its multiplicative relationship to the whole."
misconception:37437:fraction:whole_number_grab,misconception,37437,JMB_Steffe_2002_New,fraction,whole_number_grab,fraction:whole_number_grab,deformation_misconception,strategy_misconception_links.notes;automaton_instance_bindings:error_row_mapper,281;282,,651;665,whole_number_grab: Children named a fractional part based on the number of iterations of the stick used rather than its multiplicative relationship to the whole. | rather than its multiplicative relationship to the whole | Children named a fractional part based on the number of iterations of the stick used rather than its multiplicative relationship to the whole.
misconception:37441:fraction:whole_number_grab,misconception,37441,MTL_Steffe_2004_Construction,fraction,whole_number_grab,fraction:whole_number_grab,deformation_misconception,strategy_misconception_links.notes;automaton_instance_bindings:error_row_mapper,318,,677,whole_number_grab: A student interprets a fraction of a partitioned whole purely by counting parts and pieces without being able to recognize the commensurate unit fraction due to a lack of recursive partitioning operations. | counting parts; counting parts and pieces | A student interprets a fraction of a partitioned whole purely by counting parts and pieces without being able to recognize the commensurate unit fraction due to a lack of recursive partitioning operations.
misconception:37442:fraction:whole_number_grab,misconception,37442,MTL_Steffe_2004_Construction,fraction,whole_number_grab,fraction:whole_number_grab,deformation_misconception,strategy_misconception_links.notes;automaton_instance_bindings:error_row_mapper,318,,705,"whole_number_grab: A student experiences perturbation when a measuring tool labels a partitioned fraction with its commensurate unit fraction, which conflicts with their part-whole counting scheme. | part-whole counting scheme | A student experiences perturbation when a measuring tool labels a partitioned fraction with its commensurate unit fraction, which conflicts with their part-whole counting scheme."
misconception:37444:fraction:whole_number_grab,misconception,37444,JMB_Hackenberg_2007_Units,fraction,whole_number_grab,fraction:whole_number_grab,deformation_misconception,strategy_misconception_links.notes;automaton_instance_bindings:error_row_mapper,26;27;28;31,,628;631;643;649,"whole_number_grab: The student drew a fraction greater than one by partitioning the given rectangle and adding pieces, interpreting the resulting total pieces as the new denominator rather than maintaining the original unit. | total pieces as the new denominator; denominator | The student drew a fraction greater than one by partitioning the given rectangle and adding pieces, interpreting the resulting total pieces as the new denominator rather than maintaining the original unit."
misconception:37447:fraction:whole_number_grab,misconception,37447,JMB_Hackenberg_2007_Units,fraction,whole_number_grab,fraction:whole_number_grab,deformation_misconception,strategy_misconception_links.notes;automaton_instance_bindings:error_row_mapper,26;27;28;31,,630;633;646;664,"whole_number_grab: The student conflated the number of parts needed for an improper fraction with the whole unit, failing to coordinate the three levels of units necessary to form the improper fraction in relation to the unit bar. | number of parts; failing to coordinate | The student conflated the number of parts needed for an improper fraction with the whole unit, failing to coordinate the three levels of units necessary to form the improper fraction in relation to the unit bar."
misconception:37454:fraction:whole_number_grab,misconception,37454,JRME_Izsak_2008_Teaching,fraction,whole_number_grab,fraction:whole_number_grab,deformation_misconception,automaton_instance_bindings:error_row_mapper,,,,"whole number; whole-number; pairs of whole numbers; denominator; numerator | Students interpret fractions as pairs of whole numbers, making it difficult for them to maintain a fixed referent whole when reasoning with fraction strips or number lines."
misconception:37455:fraction:whole_number_grab,misconception,37455,JRME_Izsak_2008_Teaching,fraction,whole_number_grab,fraction:whole_number_grab,deformation_misconception,automaton_instance_bindings:error_row_mapper,,,,"whole number; whole-number | Students treat whole number benchmarks as estimated locations and then iterate subintervals to find the actual location of the whole, resulting in the whole number and its equivalent fraction appearing at two different locations."
misconception:37466:multiplication:drop_second_partial_product,misconception,37466,JRME_Izsak_2017_Preservice,multiplication,drop_second_partial_product,multiplication:drop_second_partial_product,deformation_misconception,automaton_instance_bindings:error_row_mapper,,,,cross product; cross products | Preservice teachers assume a ratio of two quantities will be constant simply because the elements that define their additive relationship remain constant.
misconception:37471:fraction:whole_number_grab,misconception,37471,JRME_Schoen_1990_Outcomes,fraction,whole_number_grab,fraction:whole_number_grab,deformation_misconception,automaton_instance_bindings:error_row_mapper,,,,"whole number; whole-number | When estimating sums of mixed numbers, students initially ignore the fractional parts and operate only with the whole numbers, demonstrating a weak understanding of the sizes of fractions."
misconception:37479:addition:round_without_adjusting,misconception,37479,JRME_Tomaz_2015_How,addition,round_without_adjusting,addition:round_without_adjusting,deformation_misconception,automaton_instance_bindings:error_row_mapper,,,,"round; rounded | Students encounter a discrepancy between the precise results of their school-taught calculations and the rounded figures presented on an everyday artifact, causing them to question the authority of the school calculation."
misconception:37483:fraction:whole_number_grab,misconception,37483,JRME_Fischbein_1985_Role,fraction,whole_number_grab,fraction:whole_number_grab,deformation_misconception,automaton_instance_bindings:error_row_mapper,,,,"whole number; whole-number | Students assume the operator in a multiplication problem must be a whole number, leading to errors when the operator is a decimal because it violates the tacit repeated addition model."
misconception:37485:fraction:whole_number_grab,misconception,37485,JRME_Fischbein_1985_Role,fraction,whole_number_grab,fraction:whole_number_grab,deformation_misconception,automaton_instance_bindings:error_row_mapper,,,,"whole number; whole-number | Students fail to identify division as the appropriate operation in partitive contexts when the divisor is a decimal, as it violates the intuitive rule that the divisor must be a whole number."
misconception:37491:fraction:whole_number_grab,misconception,37491,JRME_Ball_2008_Making,fraction,whole_number_grab,fraction:whole_number_grab,deformation_misconception,automaton_instance_bindings:error_row_mapper,,,,"whole number; whole-number | A student argues that zero cannot be an even number because there are no two identical whole numbers that can be put together to make it, while another argues it must be even based on its position between odd numbers."
misconception:37500:fraction:whole_number_grab,misconception,37500,JRME_Reys_1998_Relationship,fraction,whole_number_grab,fraction:whole_number_grab,deformation_misconception,automaton_instance_bindings:error_row_mapper,,,,"whole number; whole-number; numerator | Students believe there are no fractions between two given fractions with consecutive numerators, treating fraction sequences like whole number counting."
misconception:37503:decimal:decimal_point_rule_misapplication,misconception,37503,JRME_Reys_1998_Relationship,decimal,decimal_point_rule_misapplication,decimal:decimal_point_rule_misapplication,deformation_misconception,automaton_instance_bindings:error_row_mapper,,,,blindly apply rule-based algorithms to place decimal points; place decimal points in products without using estimation; place decimal points in products | Students blindly apply rule-based algorithms to place decimal points in products without using estimation or number sense to check for reasonableness.
misconception:37510:fraction:whole_number_grab,misconception,37510,JRME_Mack_1990_Learning,fraction,whole_number_grab,fraction:whole_number_grab,deformation_misconception,strategy_misconception_links.notes;automaton_instance_bindings:error_row_mapper,1608,,672,"whole_number_grab: Students inappropriately apply rules for whole numbers to fraction symbols, mistakenly concluding that a larger denominator indicates a larger fractional quantity. | whole number; whole-number; denominator | Students inappropriately apply rules for whole numbers to fraction symbols, mistakenly concluding that a larger denominator indicates a larger fractional quantity."
misconception:37515:addition:round_without_adjusting,misconception,37515,JRME_Reys_1991_Computational,addition,round_without_adjusting,addition:round_without_adjusting,deformation_misconception,automaton_instance_bindings:error_row_mapper,,,,"round; estimate; exact | Students inappropriately treat computational estimation tasks as exact mental computation tasks, relying on standard paper-and-pencil algorithms rather than employing flexible estimation strategies like rounding or using compatible numbers."
misconception:37525:fraction:whole_number_grab,misconception,37525,JRME_Cai_1995_Cognitive,fraction,whole_number_grab,fraction:whole_number_grab,deformation_misconception,automaton_instance_bindings:error_row_mapper,,,,"whole number; whole-number; denominator; numerator | Students inappropriately generalize whole number operations to fraction computations by independently adding, subtracting, or multiplying numerators and denominators, or by multiplying a whole number by both parts of a fraction."
misconception:37543:fraction:whole_number_grab,misconception,37543,JRME_Thanheiser_2009_Preservice,fraction,whole_number_grab,fraction:whole_number_grab,deformation_misconception,automaton_instance_bindings:error_row_mapper,,,,"whole number; whole-number | PSTs conceive of all digits in a multidigit number in terms of only ones, treating the digits as concatenated strings rather than distinct place value reference units."
misconception:37548:fraction:whole_number_grab,misconception,37548,JRME_Tirosh_2000_Enhancing,fraction,whole_number_grab,fraction:whole_number_grab,deformation_misconception,automaton_instance_bindings:error_row_mapper,,,,"whole number; whole-number | Students interpret division solely through a primitive, partitive model, leading to the incorrect intuitive beliefs that the divisor must be a whole number, the dividend must be greater than the divisor, and division always makes numbers smaller."
misconception:37556:fraction:whole_number_grab,misconception,37556,JRME_Tirosh_1990_Evoking,fraction,whole_number_grab,fraction:whole_number_grab,deformation_misconception,automaton_instance_bindings:error_row_mapper,,,,"whole number; whole-number | Preservice teachers explicitly believe that in a division problem the quotient must always be less than the dividend, an overgeneralization rooted in the primitive partitive model of whole numbers."
misconception:37558:fraction:whole_number_grab,misconception,37558,JRME_Pirie_1997_Chapter,fraction,whole_number_grab,fraction:whole_number_grab,deformation_misconception,automaton_instance_bindings:error_row_mapper,,,,"whole number; whole-number | When solving linear equations, students may misapply the balancing rule by incorrectly subtracting a constant from both sides to eliminate a negative term."
misconception:37579:fraction:whole_number_grab,misconception,37579,JRME_Moss_1999_Developing,fraction,whole_number_grab,fraction:whole_number_grab,deformation_misconception,automaton_instance_bindings:error_row_mapper,,,,"whole number; whole-number | Students inappropriately apply whole-number additive schemas when reasoning about rational numbers, such as judging fraction sizes by the absolute number of missing pieces or asserting that no numbers exist between consecutive decimals."
misconception:37582:fraction:whole_number_grab,misconception,37582,JRME_Moss_1999_Developing,fraction,whole_number_grab,fraction:whole_number_grab,deformation_misconception,automaton_instance_bindings:error_row_mapper,,,,whole number; whole-number | Students misapply whole-number arithmetic rules or rote syntactic patterns to nonstandard fractional computations without considering semantic proportionality.
misconception:37589:multiplication:drop_second_partial_product,misconception,37589,JRME_Whitacre_2016_Prospective,multiplication,drop_second_partial_product,multiplication:drop_second_partial_product,deformation_misconception,strategy_misconception_links.notes;automaton_instance_bindings:error_row_mapper,1791;1794;1795,,404;406;408,"dropped_partial_product: When transitioning to double-digit multipliers, prospective teachers initially attempt to compute the product by multiplying the tens by the tens and the ones by the ones, failing to account for the cross-products. | partial product; partial products; cross product; cross products; failing to account for | When transitioning to double-digit multipliers, prospective teachers initially attempt to compute the product by multiplying the tens by the tens and the ones by the ones, failing to account for the cross-products."
misconception:37590:integer:drop_sign_use_magnitude_sum,misconception,37590,JRME_Bofferding_2014_Negative,integer,drop_sign_use_magnitude_sum,integer:drop_sign_use_magnitude_sum,deformation_misconception,automaton_instance_bindings:error_row_mapper,,,,"ignoring the negative signs entirely; ignoring the negative signs; treating all numbers as positive | Students do not distinguish between positive and negative numbers, treating all numbers as positive and ignoring the negative signs entirely."
misconception:37591:fraction:whole_number_grab,misconception,37591,JRME_Bofferding_2014_Negative,fraction,whole_number_grab,fraction:whole_number_grab,deformation_misconception,automaton_instance_bindings:error_row_mapper,,,,whole number; whole-number | Students order negative numbers correctly on a number line but determine which numbers are greatest or least as if they had whole number (absolute) values.
misconception:37597:fraction:whole_number_grab,misconception,37597,JRME_Irwin_2001_Using,fraction,whole_number_grab,fraction:whole_number_grab,deformation_misconception,automaton_instance_bindings:error_row_mapper,,,,"whole number; whole-number | Students treat whole numbers and decimal fractions as distinct units separated by a 'decorative dot', applying mathematical operations symmetrically to both sides without regard to place value."
misconception:37604:addition:round_without_adjusting,misconception,37604,JRME_Johanning_2008_Learning,addition,round_without_adjusting,addition:round_without_adjusting,deformation_misconception,automaton_instance_bindings:error_row_mapper,,,,"round; rounded; approximation; estimate; exact | Students use a rounded decimal approximation for a fraction in calculations and are perturbed when the result is not exact, sparking a debate on when it is appropriate to use fractions versus decimals."
misconception:37605:fraction:whole_number_grab,misconception,37605,JRME_Johanning_2008_Learning,fraction,whole_number_grab,fraction:whole_number_grab,deformation_misconception,automaton_instance_bindings:error_row_mapper,,,,"whole number; whole-number | Students hesitate to apply known operations or functional relationships, such as division to find a missing side or squaring a scale factor to find area change, when the values involved are fractions rather than whole numbers."
misconception:37608:addition:wrong_carry_amount_to_next_column,misconception,37608,JRME_Hill_2008_Unpacking,addition,wrong_carry_amount_to_next_column,addition:wrong_carry_amount_to_next_column,deformation_misconception,automaton_instance_bindings:error_row_mapper,,,,carrying an incorrect amount; incorrect amount to the next column; regrouping errors in multi digit addition; regrouping errors in multi-digit addition | Students make regrouping errors in multi-digit addition by carrying an incorrect amount to the next column.
misconception:37609:fraction:whole_number_grab,misconception,37609,JRME_Hill_2008_Unpacking,fraction,whole_number_grab,fraction:whole_number_grab,deformation_misconception,automaton_instance_bindings:error_row_mapper,,,,whole number; whole-number | Students incorrectly order decimals by applying whole-number rules and ignoring the decimal point.
misconception:37610:subtraction:smaller_from_larger_in_column,misconception,37610,JRME_Hill_2008_Unpacking,subtraction,smaller_from_larger_in_column,subtraction:smaller_from_larger_in_column,deformation_misconception,automaton_instance_bindings:error_row_mapper,,,,"subtracting the smaller digit from the larger; smaller digit from the larger; always subtracting the smaller digit; minuend or subtrahend | Students perform a 'buggy' subtraction algorithm by always subtracting the smaller digit from the larger digit in each column, regardless of whether it is the minuend or subtrahend."
